,ChildrenId,ResultBaseline,ResultRound1,ResultRound2,ResultEndline,Baseline to Round 1,Round 1 to Round 2,Baseline to Endline,Completing Result Baseline to Endline-Story/Comprehension Level,AtLeastAchievedSentence,ComprehensionAchieved,StoryAchieved,Baseline_Endline,Gender,AcademicYearId,Term,Year,Grade,Age,EoR1,EoR2,EoR3/Endline,ParentTypeId,BaselineClass,SchoolID,ClassID,IsActiveChildTable,IsCurrentChildrenAcademicTable,IsActiveSchool,IsActiveClass,CuCStatus,DeleteReasonId,AcademicYearName,AttendanceRate
0,36161,Word,null,Story with comprehension,Story with comprehension,null,null,Increase,True,True,True,False,Increase 3 Levels,Male,26,2,2022,Grade 5,14.0,No,Yes,Yes,1.0,No,185,3010,True,True,True,True,True,0.0,2022-Hempel-Literacy-CuC Cycle 1,0.8
1,31440,Letter,null,Story with comprehension,Story with comprehension,null,null,Increase,True,True,True,False,Increase 4 Levels,Female,26,2,2022,Grade 5,16.0,No,Yes,Yes,2.0,No,185,2619,True,True,True,True,True,0.0,2022-Hempel-Literacy-CuC Cycle 1,0.0
2,36143,Word,null,null,Story with comprehension,null,null,Increase,True,True,True,False,Increase 3 Levels,Male,26,2,2022,Grade 4,14.0,No,No,Yes,2.0,No,185,3009,True,True,True,True,True,0.0,2022-Hempel-Literacy-CuC Cycle 1,0.0
3,36132,Word,Story,null,Story with comprehension,Increase,null,Increase,True,True,True,True,Increase 3 Levels,Male,26,2,2022,Grade 6,17.0,Yes,No,Yes,1.0,No,185,3009,True,True,True,True,True,0.0,2022-Hempel-Literacy-CuC Cycle 1,1.0
4,31423,Letter,Word,Story with comprehension,Story with comprehension,Increase,Increase,Increase,True,True,True,False,Increase 4 Levels,Female,26,2,2022,Grade 6,15.0,Yes,Yes,Yes,1.0,No,185,2619,True,True,True,True,True,0.0,2022-Hempel-Literacy-CuC Cycle 1,0.0
5,31435,Letter,Word,Story with comprehension,Story with comprehension,Increase,Increase,Increase,True,True,True,False,Increase 4 Levels,Male,26,2,2022,Grade 6,17.0,Yes,Yes,Yes,2.0,No,185,2619,True,True,True,True,True,0.0,2022-Hempel-Literacy-CuC Cycle 1,1.0
6,31427,Letter,Letter,Story,Story with comprehension,Stayed The Same,Increase,Increase,True,True,True,True,Increase 4 Levels,Female,26,2,2022,Grade 3,11.0,Yes,Yes,Yes,2.0,No,185,2619,True,True,True,True,True,0.0,2022-Hempel-Literacy-CuC Cycle 1,1.0
7,31441,Letter,Word,Story,Story with comprehension,Increase,Increase,Increase,True,True,True,True,Increase 4 Levels,Female,26,2,2022,Grade 4,13.0,Yes,Yes,Yes,2.0,No,185,2619,True,True,True,True,True,0.0,2022-Hempel-Literacy-CuC Cycle 1,0.0
8,31428,Letter,Word,Story,Story with comprehension,Increase,Increase,Increase,True,True,True,True,Increase 4 Levels,Female,26,2,2022,Grade 4,11.0,Yes,Yes,Yes,2.0,No,185,2619,True,True,True,True,True,0.0,2022-Hempel-Literacy-CuC Cycle 1,0.0
9,31442,Letter,Word,Story with comprehension,Story with comprehension,Increase,Increase,Increase,True,True,True,False,Increase 4 Levels,Female,26,2,2022,Grade 3,13.0,Yes,Yes,Yes,2.0,No,185,2619,True,True,True,True,True,0.0,2022-Hempel-Literacy-CuC Cycle 1,1.0
